Código,Termo
3E-44-02-04-08-00-00,Recalque de rede coletora de esgoto
3E-44-02-04-1000-00,Dispositivo acessório de rede coletora de esgoto
3E-44-04-00-00-00-00,Elementos para tratamento de esgoto
3E-44-04-02-00-00-00,Grade para tratamento de esgoto
3E-44-04-04-00-00-00,Tanque de areia para tratamento de esgoto
3E-44-04-06-00-00-00,Decantador primário para tratamento de esgoto
3E-44-04-08-00-00-00,Câmara de aeração para tratamento de esgoto
3E-44-04-10-00-00-00,Decantador secundário para tratamento de esgoto
3E-44-04-12-00-00-00,Digestor anaeróbio de para tratamento de esgoto
3E-44-04-14-00-00-00,Emissário de estação de tratamento de esgoto
3E-48-00-00-00-00-00,Elementos de tratamento de resíduos sólidos
3E-48-02-00-00-00-00,Elementos para sistemas de coleta de resíduos sólidos
3E-48-04-00-00-00-00,Elementos para tratamento mecânico de resíduos sólidos
3E-48-04-02-00-00-00,Compactador de resíduos sólidos
3E-48-06-00-00-00-00,Elementos para tratamento bioquímico de resíduos sólidos
3E-48-06-02-00-00-00,Composteira de resíduos sólidos
3E-48-08-00-00-00-00,Elementos para tratamento térmico de resíduos sólidos
3E-48-08-02-00-00-00,Fomo de incineração de resíduos sólidos
3E-48-10-00-00-00-00,Elementos para a destinação de resíduos sólidos
3E-50-00-00-00-00-00,Elementos de sistemas de refrigeração
3E-50-02-00-00-00-00,Elementos de distribuição em sistemas de refrigeração
3E-50-02-02-00-00-00,Isolamento térmico de rede de dutos
3E-50-02-04-00-00-00,Duto flexível para distribuição de ar refrigerado
3E-50-02-06-00-00-00,Duto rígido para distribuição de ar refrigerado
3E-50-02-08-00-00-00,Duto convencional retangular aparente
3E-50-04-00-00-00-00,Elementos para difusão de ar
3E-50-04-02-00-00-00,Boca de ar
